      price  quantity  type               timestamp
2  91643000    0.1090     1 2024-04-28 18:45:22.447
3  91644000    0.0032     1 2024-04-28 18:45:22.447
4  91654000    2.7166     1 2024-04-28 18:45:22.447
      price  quantity  type               timestamp
0  91603000    0.0017     0 2024-04-28 18:45:27.422
1  91600000    0.0063     0 2024-04-28 18:45:27.422
2  91596000    0.5321     0 2024-04-28 18:45:27.422
3  91595000    0.0007     0 2024-04-28 18:45:27.422
4  91594000    0.0000     0 2024-04-28 18:45:27.422
      price  quantity  type               timestamp
0  91612000    0.0043     1 2024-04-28 18:45:27.422
1  91637000    0.1063     1 2024-04-28 18:45:27.422
2  91638000    0.7989     1 2024-04-28 18:45:27.422
3  91643000    0.1090     1 2024-04-28 18:45:27.422
4  91644000    0.0032     1 2024-04-28 18:45:27.422
      price  quantity  type               timestamp
0  91603000    0.0072     0 2024-04-28 18:45:32.413
1  91600000    0.0063     0 2024-04-28 18:45:32.413
2  91596000    0.5321     0 2024-04-28 18:45:32.413
3  91595000    0.0007     0 2024-04-28 18:45:32.413
4  91594000    0.0000     0 2024-04-28 18:45:32.413
      price  quantity  type               timestamp
0  91611000    0.0043     1 2024-04-28 18:45:32.413
1  91638000    0.7989     1 2024-04-28 18:45:32.413
2  91644000    0.0032     1 2024-04-28 18:45:32.413
3  91651000    0.1090     1 2024-04-28 18:45:32.413
4  91654000    0.0627     1 2024-04-28 18:45:32.413
      price  quantity  type               timestamp
0  91600000    0.0063     0 2024-04-28 18:45:37.375
1  91596000    0.5321     0 2024-04-28 18:45:37.375
2  91595000    0.0007     0 2024-04-28 18:45:37.375
3  91594000    0.0000     0 2024-04-28 18:45:37.375
4  91592000    0.0003     0 2024-04-28 18:45:37.375
      price  quantity  type               timestamp
0  91602000    0.0020     1 2024-04-28 18:45:37.375
1  91603000    0.0992     1 2024-04-28 18:45:37.375
2  91610000    0.2000     1 2024-04-28 18:45:37.375
3  91638000    0.7989     1 2024-04-28 18:45:37.375
4  91644000    0.0032     1 2024-04-28 18:45:37.375
      price  quantity  type               timestamp
0  91596000    0.3891     0 2024-04-28 18:45:42.371
1  91595000    0.0007     0 2024-04-28 18:45:42.371
2  91594000    0.0000     0 2024-04-28 18:45:42.371
